027113113002,02,6558.33255405,Minnesota
027113113003,03,1510.1256586,Minnesota
027113113004,04,945.697642103,Minnesota
027113113005,05,367.970162906,Minnesota
027113113006,06,7868.98174447,Minnesota
027113113007,07,91628.0097458,Minnesota
027113113008,08,78133.8123438,Minnesota
028113113001,01,27792.6313787,Mississippi
028113113002,02,41243.1624825,Mississippi
028113113003,03,33375.9260652,Mississippi
028113113004,04,21110.196894,Mississippi
029113113001,01,611.169121527,Missouri
029113113002,02,1244.65866291,Missouri
029113113003,03,18112.2958709,Missouri
029113113004,04,38057.4403514,Missouri
029113113005,05,6370.70251838,Missouri
029113113006,06,47663.1448557,Missouri
029113113007,07,16495.5166986,Missouri
029113113008,08,51990.9137693,Missouri
030113113000,00,380826.051023,Montana
031113113001,01,23247.5498812,Nebraska
031113113002,02,1364.53167413,Nebraska
031113113003,03,175722.966607,Nebraska
032113113001,01,270.678469662,Nevada
032113113002,02,145915.927218,Nevada
032113113003,03,7475.72358875,Nevada
032113113004,04,132687.883955,Nevada
033113113001,01,6828.80033048,New Hampshire
033113113002,02,17212.3550419,New Hampshire
034113113001,01,957.821956707,New Jersey
034113113002,02,5917.03094641,New Jersey
034113113003,03,2540.18363708,New Jersey
034113113004,04,1835.96098211,New Jersey
034113113005,05,2651.05752404,New Jersey
034113113006,06,589.630408145,New Jersey
034113113007,07,2560.37413578,New Jersey
034113113008,08,167.543040039,New Jersey
034113113009,09,266.372798538,New Jersey
034113113010,10,208.567085603,New Jersey
034113113011,11,1376.67757695,New Jersey
034113113012,12,1086.22212341,New Jersey
035113113001,01,11932.2556034,New Mexico
035113113002,02,186221.993493,New Mexico
035113113003,03,116763.20992,New Mexico
036113113001,01,2189.19628364,New York
036113113002,02,620.612426467,New York
036113113003,03,725.597998267,New York
036113113004,04,339.659646829,New York
036113113005,05,164.853469891,New York
036113113006,06,77.7915350729,New York
036113113007,07,44.3850576205,New York
036113113008,08,106.717451504,New York
036113113009,09,40.8035163421,New York
036113113010,10,49.9477027498,New York
036113113011,11,173.361123384,New York
036113113012,12,45.4584071505,New York
036113113013,13,33.5776266585,New York
036113113014,14,91.3833580625,New York
036113113015,15,44.0241677399,New York
036113113016,16,221.963305164,New York
036113113017,17,1141.05186491,New York
036113113018,18,3667.80909967,New York
036113113019,19,20988.5906127,New York
036113113020,20,3270.75287373,New York
036113113021,21,41176.995933,New York
036113113022,22,13496.7802937,New York
036113113023,23,19616.7565995,New York
036113113024,24,6411.51980729,New York
036113113025,25,1343.7187388,New York
036113113026,26,600.750127821,New York
036113113027,27,10396.0639994,New York
037113113001,01,14493.8503444,North Carolina
037113113002,02,8537.91035982,North Carolina
037113113003,03,21998.2612772,North Carolina
037113113004,04,2764.03598797,North Carolina
037113113005,05,9314.46842925,North Carolina
037113113006,06,9663.77385319,North Carolina
037113113007,07,16267.9588426,North Carolina
037113113008,08,11855.1544111,North Carolina
037113113009,09,2335.72127533,North Carolina
037113113010,10,6770.94265588,North Carolina
037113113011,11,17900.7085061,North Carolina
037113113012,12,1442.45471476,North Carolina
037113113013,13,5993.30647359,North Carolina
038113113000,00,183108.704883,North Dakota
039113113001,01,1805.78755256,Ohio
039113113002,02,8419.4915744,Ohio
039113113003,03,601.465732394,Ohio
039113113004,04,12204.4408459,Ohio
039113113005,05,14644.0118679,Ohio
039113113006,06,18887.8148786,Ohio
